2020-12-08 12:09:29.199 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8005 (http) with context path '/news/admin'
2020-12-08 12:09:29.204 [main] INFO  com.aiolos.news.AdminApplication - Started AdminApplication in 53.255 seconds (JVM running for 59.175)
2020-12-08 12:14:35.927 [http-nio-8005-exec-1] INFO  o.a.c.c.C.[.[.[/news/admin] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-12-08 12:14:35.927 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-12-08 12:14:35.944 [http-nio-8005-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 16 ms
2020-12-08 12:14:36.001 [http-nio-8005-exec-1] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:14:36.159 [http-nio-8005-exec-1] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-12-08 12:14:36.161 [http-nio-8005-exec-1] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-12-08 12:15:30.397 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:25:47.359 [http-nio-8005-exec-4] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:26:26.497 [http-nio-8005-exec-5] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:26:26.506 [http-nio-8005-exec-6] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:26:26.552 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:26:26.822 [http-nio-8005-exec-6] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:48}] to 127.0.0.1:27017
2020-12-08 12:26:26.920 [http-nio-8005-exec-6] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：368
2020-12-08 12:26:47.593 [http-nio-8005-exec-7] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:27:26.887 [http-nio-8005-exec-9] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:27:52.332 [http-nio-8005-exec-10] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:29:11.372 [http-nio-8005-exec-2] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:30:13.235 [http-nio-8005-exec-4] INFO  c.a.n.c.CategoryMngController - Enter function getCats
2020-12-08 12:30:13.238 [http-nio-8005-exec-5] INFO  c.a.n.c.FriendLinkController - Enter function admin/friendLinkMng/portal/list
2020-12-08 12:30:13.243 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - ============ 开始执行 class com.aiolos.news.service.impl.FriendLinkServiceImpl.queryPortalAllFriendLinkList ============
2020-12-08 12:30:13.251 [http-nio-8005-exec-5] INFO  c.a.news.aspect.ServiceLogAspect - 当前执行耗时：8
